Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/10/2020,02/01/2020,06/06/2020,Hawaii,Female,5-14 years,0,,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Hawaii,Female,15-24 years,0,11,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Hawaii,Female,25-34 years,,19,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Hawaii,Female,35-44 years,0,26,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Hawaii,Female,45-54 years,,75,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Hawaii,Female,55-64 years,0,174,19,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Hawaii,Female,65-74 years,0,286,20,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Hawaii,Female,75-84 years,,357,20,0,0,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Hawaii,Female,85 years and over,,907,60,,,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Hawaii,Female,All ages,,"1,873",125,,,133,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Hawaii,Unknown,All ages,0,0,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Hawaii Total,All,All Ages,16,"4,067",271,,20,301,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Idaho,Male,Under 1 year,0,22,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Idaho,Male,1-4 years,0,,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Idaho,Male,5-14 years,0,,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Idaho,Male,15-24 years,0,48,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Idaho,Male,25-34 years,0,58,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Idaho,Male,35-44 years,0,93,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Idaho,Male,45-54 years,0,156,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Idaho,Male,55-64 years,,350,19,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Idaho,Male,65-74 years,,588,29,0,,44,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Idaho,Male,75-84 years,16,709,41,,,52,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Idaho,Male,85 years and over,12,624,34,,,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Idaho,Male,All ages,40,"2,664",129,11,13,171,
06/10/2020,02/01/2020,06/06/2020,Idaho,Female,Under 1 year,0,17,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Idaho,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Idaho,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Idaho,Female,15-24 years,0,14,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Idaho,Female,25-34 years,0,32,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Idaho,Female,35-44 years,0,52,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Idaho,Female,45-54 years,0,91,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Idaho,Female,55-64 years,0,254,18,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Idaho,Female,65-74 years,,425,31,,,35,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Idaho,Female,75-84 years,12,629,28,,,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Idaho,Female,85 years and over,25,926,46,,,71,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Idaho,Female,All ages,44,"2,444",128,14,12,170,
06/10/2020,02/01/2020,06/06/2020,Idaho,Unknown,All ages,0,0,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Idaho Total,All,All Ages,84,"5,108",257,25,25,341,
06/10/2020,02/01/2020,06/06/2020,Illinois,Male,Under 1 year,0,124,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Illinois,Male,1-4 years,0,25,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Illinois,Male,5-14 years,,38,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Illinois,Male,15-24 years,,321,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Illinois,Male,25-34 years,31,598,25,10,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Illinois,Male,35-44 years,78,826,58,37,,101,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Illinois,Male,45-54 years,202,"1,486",165,102,,268,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Illinois,Male,55-64 years,404,"3,571",379,221,15,577,
06/10/2020,02/01/2020,06/06/2020,Illinois,Male,65-74 years,645,"4,968",629,346,15,943,
06/10/2020,02/01/2020,06/06/2020,Illinois,Male,75-84 years,674,"5,355",727,363,18,"1,056",
06/10/2020,02/01/2020,06/06/2020,Illinois,Male,85 years and over,556,"5,397",691,275,14,985,
06/10/2020,02/01/2020,06/06/2020,Illinois,Male,All ages,"2,596","22,709","2,680","1,356",70,"3,989",
06/10/2020,02/01/2020,06/06/2020,Illinois,Female,Under 1 year,0,93,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Illinois,Female,1-4 years,0,13,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Illinois,Female,5-14 years,0,22,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Illinois,Female,15-24 years,,108,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Illinois,Female,25-34 years,17,242,16,,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Illinois,Female,35-44 years,26,417,34,16,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Illinois,Female,45-54 years,71,832,79,40,,112,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Illinois,Female,55-64 years,198,"2,190",251,113,16,352,
06/10/2020,02/01/2020,06/06/2020,Illinois,Female,65-74 years,363,"3,607",427,198,15,606,
06/10/2020,02/01/2020,06/06/2020,Illinois,Female,75-84 years,511,"5,182",607,252,27,892,
06/10/2020,02/01/2020,06/06/2020,Illinois,Female,85 years and over,906,"8,986",983,420,38,"1,507",
06/10/2020,02/01/2020,06/06/2020,Illinois,Female,All ages,"2,095","21,692","2,400","1,047",106,"3,552",
06/10/2020,02/01/2020,06/06/2020,Illinois,Unknown,All ages,0,0,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Illinois Total,All,All Ages,"4,691","44,401","5,080","2,403",176,"7,541",
06/10/2020,02/01/2020,06/06/2020,Indiana,Male,Under 1 year,0,65,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Indiana,Male,1-4 years,0,11,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Indiana,Male,5-14 years,0,23,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Indiana,Male,15-24 years,,151,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Indiana,Male,25-34 years,,310,11,,0,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Indiana,Male,35-44 years,,393,26,,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Indiana,Male,45-54 years,35,779,56,12,,86,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Indiana,Male,55-64 years,118,"2,015",184,62,10,250,
06/10/2020,02/01/2020,06/06/2020,Indiana,Male,65-74 years,241,"2,840",323,123,13,454,
06/10/2020,02/01/2020,06/06/2020,Indiana,Male,75-84 years,289,"3,183",403,134,16,573,
06/10/2020,02/01/2020,06/06/2020,Indiana,Male,85 years and over,262,"2,742",317,110,11,480,
06/10/2020,02/01/2020,06/06/2020,Indiana,Male,All ages,961,"12,512","1,322",450,59,"1,891",
06/10/2020,02/01/2020,06/06/2020,Indiana,Female,Under 1 year,0,65,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Indiana,Female,1-4 years,0,,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Indiana,Female,5-14 years,0,15,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Indiana,Female,15-24 years,,46,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Indiana,Female,25-34 years,,141,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Indiana,Female,35-44 years,,195,12,,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Indiana,Female,45-54 years,19,514,46,,,62,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Indiana,Female,55-64 years,61,"1,302",122,35,10,158,
06/10/2020,02/01/2020,06/06/2020,Indiana,Female,65-74 years,150,"2,217",234,71,13,326,
06/10/2020,02/01/2020,06/06/2020,Indiana,Female,75-84 years,266,"3,083",327,106,14,500,
06/10/2020,02/01/2020,06/06/2020,Indiana,Female,85 years and over,410,"4,848",416,126,24,723,
06/10/2020,02/01/2020,06/06/2020,Indiana,Female,All ages,917,"12,435","1,163",352,69,"1,795",
06/10/2020,02/01/2020,06/06/2020,Indiana,Unknown,All ages,0,0,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Indiana Total,All,All Ages,"1,878","24,947","2,485",802,128,"3,686",
06/10/2020,02/01/2020,06/06/2020,Iowa,Male,Under 1 year,0,20,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Iowa,Male,1-4 years,0,,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Iowa,Male,5-14 years,0,10,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Iowa,Male,15-24 years,0,57,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Iowa,Male,25-34 years,,102,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Iowa,Male,35-44 years,,129,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Iowa,Male,45-54 years,16,292,16,,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Iowa,Male,55-64 years,37,773,60,17,,83,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Iowa,Male,65-74 years,65,"1,207",95,19,,150,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Iowa,Male,75-84 years,64,"1,384",110,15,,168,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Iowa,Male,85 years and over,77,"1,536",127,18,,194,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Iowa,Male,All ages,265,"5,519",419,78,33,639,
06/10/2020,02/01/2020,06/06/2020,Iowa,Female,Under 1 year,0,16,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Iowa,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Iowa,Female,5-14 years,0,,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Iowa,Female,15-24 years,,18,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Iowa,Female,25-34 years,,38,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Iowa,Female,35-44 years,,73,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Iowa,Female,45-54 years,,157,12,,,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Iowa,Female,55-64 years,26,499,38,10,,58,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Iowa,Female,65-74 years,40,847,68,12,12,108,
06/10/2020,02/01/2020,06/06/2020,Iowa,Female,75-84 years,44,"1,230",93,10,12,139,
06/10/2020,02/01/2020,06/06/2020,Iowa,Female,85 years and over,95,"2,467",167,20,21,263,
06/10/2020,02/01/2020,06/06/2020,Iowa,Female,All ages,214,"5,349",384,57,51,592,
06/10/2020,02/01/2020,06/06/2020,Iowa,Unknown,All ages,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Iowa Total,All,All Ages,479,"10,869",803,135,84,"1,231",
06/10/2020,02/01/2020,06/06/2020,Kansas,Male,Under 1 year,0,38,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Kansas,Male,1-4 years,0,,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kansas,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kansas,Male,15-24 years,0,78,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kansas,Male,25-34 years,,118,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kansas,Male,35-44 years,,159,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kansas,Male,45-54 years,,290,10,,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kansas,Male,55-64 years,20,715,44,10,,63,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kansas,Male,65-74 years,20,"1,029",76,,,97,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kansas,Male,75-84 years,24,"1,145",83,12,13,108,
06/10/2020,02/01/2020,06/06/2020,Kansas,Male,85 years and over,27,"1,289",113,15,,132,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kansas,Male,All ages,103,"4,874",336,48,42,433,
06/10/2020,02/01/2020,06/06/2020,Kansas,Female,Under 1 year,0,24,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Kansas,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kansas,Female,5-14 years,0,,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kansas,Female,15-24 years,0,31,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kansas,Female,25-34 years,,42,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kansas,Female,35-44 years,,99,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kansas,Female,45-54 years,,186,,,,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kansas,Female,55-64 years,14,480,28,,,45,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kansas,Female,65-74 years,10,772,60,,,77,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kansas,Female,75-84 years,17,"1,076",71,,15,94,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kansas,Female,85 years and over,50,"1,916",140,21,13,182,
06/10/2020,02/01/2020,06/06/2020,Kansas,Female,All ages,97,"4,631",315,37,47,422,
06/10/2020,02/01/2020,06/06/2020,Kansas,Unknown,All ages,0,0,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Kansas Total,All,All Ages,200,"9,505",651,85,89,855,
06/10/2020,02/01/2020,06/06/2020,Kentucky,Male,Under 1 year,0,30,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Kentucky,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kentucky,Male,5-14 years,0,11,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Kentucky,Male,15-24 years,0,106,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kentucky,Male,25-34 years,0,210,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kentucky,Male,35-44 years,,374,21,,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kentucky,Male,45-54 years,,607,39,,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kentucky,Male,55-64 years,23,"1,481",115,,,137,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kentucky,Male,65-74 years,53,"1,943",192,31,12,226,
06/10/2020,02/01/2020,06/06/2020,Kentucky,Male,75-84 years,43,"1,958",226,23,10,256,
06/10/2020,02/01/2020,06/06/2020,Kentucky,Male,85 years and over,33,"1,460",165,18,10,190,
06/10/2020,02/01/2020,06/06/2020,Kentucky,Male,All ages,167,"8,186",765,89,47,890,
06/10/2020,02/01/2020,06/06/2020,Kentucky,Female,Under 1 year,0,25,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Kentucky,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kentucky,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kentucky,Female,15-24 years,0,39,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kentucky,Female,25-34 years,0,98,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kentucky,Female,35-44 years,0,173,13,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kentucky,Female,45-54 years,,419,29,,,35,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kentucky,Female,55-64 years,21,987,83,13,11,101,
06/10/2020,02/01/2020,06/06/2020,Kentucky,Female,65-74 years,32,"1,510",140,19,12,165,
06/10/2020,02/01/2020,06/06/2020,Kentucky,Female,75-84 years,57,"2,022",199,30,,231,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kentucky,Female,85 years and over,104,"2,486",241,43,12,314,
06/10/2020,02/01/2020,06/06/2020,Kentucky,Female,All ages,218,"7,770",709,108,48,866,
06/10/2020,02/01/2020,06/06/2020,Kentucky,Unknown,All ages,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Kentucky Total,All,All Ages,385,"15,957","1,474",197,95,"1,756",
06/10/2020,02/01/2020,06/06/2020,Louisiana,Male,Under 1 year,0,54,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Louisiana,Male,1-4 years,0,10,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Louisiana,Male,5-14 years,,19,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Louisiana,Male,15-24 years,,118,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Louisiana,Male,25-34 years,,246,11,,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Louisiana,Male,35-44 years,29,342,25,16,,39,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Louisiana,Male,45-54 years,79,640,38,29,,93,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Louisiana,Male,55-64 years,189,"1,521",137,83,,246,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Louisiana,Male,65-74 years,299,"2,229",241,135,11,414,
06/10/2020,02/01/2020,06/06/2020,Louisiana,Male,75-84 years,357,"2,198",272,169,,467,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Louisiana,Male,85 years and over,234,"1,713",209,115,,332,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Louisiana,Male,All ages,"1,195","9,090",937,551,33,"1,611",
06/10/2020,02/01/2020,06/06/2020,Louisiana,Female,Under 1 year,,44,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Louisiana,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Louisiana,Female,5-14 years,0,11,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Louisiana,Female,15-24 years,,48,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Louisiana,Female,25-34 years,,115,,,0,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Louisiana,Female,35-44 years,27,215,19,13,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Louisiana,Female,45-54 years,43,416,32,16,,68,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Louisiana,Female,55-64 years,127,"1,067",108,62,,175,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Louisiana,Female,65-74 years,178,"1,646",152,77,,260,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Louisiana,Female,75-84 years,293,"2,209",224,131,,394,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Louisiana,Female,85 years and over,336,"2,859",264,151,,457,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
